PLAYER	TEAM	DATE	DESCRIPTION	STATUS	INJURY
Marcus Morris	LAC	2021-03-31	Morris Sr. is questionable for Thursday's (Apr. 1) game against Denver.	Day To Day	Calf
Rajon Rondo	LAC	2021-03-31	Rondo is out for Thursday's (Apr. 1) game against Denver.	Out	Adductor
Anthony Davis	LAL	2021-03-13	Davis will be out at least two more weeks, according to Dave McMenamin of ESPN.	Out	Achilles
Jared Dudley	LAL	2021-03-14	The Lakers announced that Dudley has been diagnosed with a torn MCL.	Out	Knee
LeBron James	LAL	2021-03-25	James is expected to miss 3-5 more weeks, according to Shams Charania of The Athletic.	Out	Ankle
Grayson Allen	MEM	2021-04-01	Allen did not play in Wednesday's (Mar. 31) game.	Day To Day	Hip
Brandon Clarke	MEM	2021-04-01	Clarke did not play in Wednesday's (Mar. 31) game.	Day To Day	Personal
Jaren Jackson	MEM	2021-03-11	Jackson Jr. is expected to miss a few more weeks, according to Evan Barnes of The Commercial Appeal.	Out	Knee
Justise Winslow	MEM	2021-04-01	Winslow did not play in Wednesday's (Mar. 31) game.	Day To Day	Thigh
Goran DragiÄ‡	MIA	2021-04-01	Dragic is out for Thursday's (Apr. 1) game against Golden State.	Out	Undisclsoed
Kendrick Nunn	MIA	2021-04-01	Nunn is questionable for Thursday's (Apr. 1) game against Golden State.	Day To Day	Ankle
KZ Okpala	MIA	2021-04-01	Okpala is out for Thursday's (Apr. 1) game against Golden State.	Out	Health and Safety Protocols
Rodions Kurucs	MIL	2021-04-01	Kurucs did not play in Wednesday's (Mar. 31) game.	Day To Day	Abdominal
Bobby Portis	MIL	2021-04-01	Portis did not play in Wednesday's (Mar. 31) game.	Day To Day	Health and Safety Protocols
P.J. Tucker	MIL	2021-04-01	Tucker did not play in Wednesday's (Mar. 31) game.	Day To Day	Calf
Josh Okogie	MIN	2021-04-01	Okogie did not play in Wednesday's (Mar. 31) game against New York.	Day To Day	Health and Safety Protocols
D'Angelo Russell	MIN	2021-03-24	Russell is working out with the team and is working on his fitness level. He's hoping to get into team activities this weekend or some time next week, according to Jon Krawczynski of The Athletic.	Out	Leg
Lonzo Ball	NOP	2021-04-01	Ball is out for Thursday's (Apr. 1) game against Orlando.	Out	Hip
Brandon Ingram	NOP	2021-04-01	Ingram is doubtful for Thursday's (Apr. 1) game against Orlando.	Day To Day	Foot
Zion Williamson	NOP	2021-04-01	Williamson is out for Thursday's (Apr. 1) game against Orlando.	Out	Thumb
RJ Barrett	NYK	2021-04-01	Barrett is questionable for Friday's (Apr. 2) game against Dallas.	Day To Day	Ankle
Mitchell Robinson	NYK	2021-03-28	The Knicks announced that Robinson suffered a fractured foot and is out indefinitely.	Out	Ankle
Derrick Rose	NYK	2021-04-01	Rose is questionable for Friday's (Apr. 2) game against Dallas.	Day To Day	Ankle
Darius Bazley	OKC	2021-04-01	Bazley did not play in Wednesday's (Mar. 31) game against Toronto.	Day To Day	Shoulder
Luguentz Dort	OKC	2021-04-01	Dort did not play in Wednesday's (Mar. 31) game against Toronto.	Day To Day	Concussion protocol
Shai Gilgeous-Alexander	OKC	2021-04-01	Gilgeous-Alexander did not play in Wednesday's (Mar. 31) game against Toronto.	Day To Day	Foot
Ty Jerome	OKC	2021-04-01	Jerome did not play in Wednesday's (Mar. 31) game against Toronto.	Day To Day	Ankle
Mike Muscala	OKC	2021-04-01	Muscala did not play in Wednesday's (Mar. 31) game against Toronto.	Day To Day	Ankle
Aleksej Pokusevski	OKC	2021-04-01	Pokusevski did not play in Wednesday's (Mar. 31) game against Toronto.	Day To Day	Health protocols
Cole Anthony	ORL	2021-03-17	Anthony doesn't appear close to returning to game action, according to Josh Robbins of The Athletic.	Out	Rib
Markelle Fultz	ORL	2021-01-06	Fultz will miss the rest of the season with a torn ACL in his left knee, according to Adrian Wojnarowski.	Out For Season	Knee
Gary Harris	ORL	2021-03-25	Harris is out for the foreseeable future. Harris has been out since mid-February with a left thigh strain.	Out	Thigh
Jonathan Isaac	ORL	2021-03-05	Isaac is making progress with his rehab. He's started to ramp up his on-court work, according to Roy Parry of the Orlando Sentinel. He's not slated to return this season, but should be ready to go for the 2021-2022 season.	Out For Season	Knee
Karim ManÃ©	ORL	2021-04-01	Mane is out for Thursday's (Apr. 1) game against New Orleans.	Out	Hamstring
Ignas Brazdeikis	PHI	2021-03-31	Brazdeikis is out for Thursday's (Apr. 1) game against Cleveland.	Out	Coach's Decision
Joel Embiid	PHI	2021-03-13	The 76ers announced that Embiid will be re-evaluated in two weeks.	Out	Knee
George Hill	PHI	2021-03-31	Hill is out for Thursday's (Apr. 1) game against Cleveland.	Out	Thumb
Mason Jones	PHI	2021-03-31	Jones is out for Thursday's (Apr. 1) game against Cleveland.	Out	Coach's Decision
Frank Kaminsky	PHO	2021-04-01	Kaminsky did not play in Wednesday's (Mar. 31) game.	Day To Day	Health Protocols
Abdel Nader	PHO	2021-04-01	Nader did not play in Wednesday's (Mar. 31) game.	Day To Day	Knee
Zach Collins	POR	2021-03-05	Collins is rehabbing after having surgery to repair a stress fracture in his ankle, according to a report from NBC Sports Northwest. If everything goes to plan, there's a chance he could return in time for the playoffs.	Out	Ankle
Nassir Little	POR	2021-04-01	Little did not play in Wednesday's (Mar. 31) game.	Day To Day	Thumb
Marvin Bagley	SAC	2021-03-18	The Kings announced Bagley will not require surgery, but will be re-evaluated in approximately four weeks.	Out	Hand
Jahmi'us Ramsey	SAC	2021-04-01	Ramsey did not play in Wednesday's (Mar. 31) game against San Antonio.	Day To Day	Hamstring
Hassan Whiteside	SAC	2021-04-01	Whiteside did not play in Wednesday's (Mar. 31) game.	Day To Day	Knee
Keita Bates-Diop	SAS	2021-04-01	Bates-Diop is listed as OUT for Thursday's (Apr. 1) game.	Out	Hamstring
Gorgui Dieng	SAS	2021-04-01	Dieng is listed as OUT for Thursday's (Apr. 1) game.	Out	Shoulder
Trey Lyles	SAS	2021-04-01	Lyles is listed as OUT for Thursday's (Apr. 1) game.	Out	Ankle
Lonnie Walker	SAS	2021-04-01	Walker IV is listed as OUT for Thursday's (Apr. 1) game.	Out	Wrist
DeAndre' Bembry	TOR	2021-04-01	Bembry did not play in Wednesday's game (Mar. 31) against the Thunder.	Day To Day	Health and Safety Protocols
Jalen Harris	TOR	2021-04-01	Harris did not play in Wednesday's game (Mar. 31) against the Thunder.	Day To Day	Hip
Rodney Hood	TOR	2021-03-31	Hood left Wednesday's (Mar. 31) game and did not return.	Day To Day	Hip
Kyle Lowry	TOR	2021-04-01	Lowry did not play in Wednesday's (Mar. 31) game against Oklahoma City.	Day To Day	Foot
Patrick McCaw	TOR	2021-04-01	McCaw did not play in Wednesday's game (Mar. 31) against the Thunder.	Day To Day	Knee
Paul Watson	TOR	2021-04-01	Watson did not play in Wednesday's game (Mar. 31) against the Thunder.	Day To Day	Health and Safety Protocols
Udoka Azubuike	UTA	2021-02-12	Azubuike is out indefinitely with a severe right ankle sprain, according to Sarah Todd of The Deseret News.	Out	Ankle
Donovan Mitchell	UTA	2021-04-01	Mitchell did not play in Wednesday's (Mar. 31) game.	Day To Day	Personal
Juwan Morgan	UTA	2021-04-01	Morgan did not play in Wednesday's (Mar. 31) game.	Day To Day	Calf
Bradley Beal	WAS	2021-03-31	Beal is listed as QUESTIONABLE for Thursday's (Apr. 1) game.	Day To Day	Hip
DÄvis BertÄns	WAS	2021-03-31	Bertans is out for Thursday's (Apr. 1) game against Detroit.	Out	Calf
Thomas Bryant	WAS	2021-02-02	The Wizards announced that Bryant had surgery to repair his left ACL. He's not expected to play again this season.	Out For Season	Left knee
Daniel Gafford	WAS	2021-03-30	Gafford has a right ankle sprain and will be reevaluated in 10 days.	Out	Ankle
Raul Neto	WAS	2021-03-31	Neto is listed as QUESTIONABLE for Thursday's (Apr. 1) game.	Day To Day	Rib
Ish Smith	WAS	2021-02-17	The Wizards announced that Smith will miss the next 6-8 weeks with a right proximal quadriceps injury.	Out	Quad
