injuryID,date,playerName,description
53,5/15/68,Charles Vaughn / Chico Vaughn,surgery on leg to remove calcified deposit (out indefinitely) (date approximate)
54,10/23/68,Jerry West,pulled groin (DTD)
55,11/14/68,Levern Tart,fractured right cheekbone (out indefinitely)
56,12/23/68,Jim Harding,took leave of absence as head coach for medical reasons
57,12/27/68,Dick Cunningham,sprained ankle (DTD)
58,1/3/69,Cliff Hagan,back injury (DTD)
59,1/4/69,Jerry West,pulled groin (DTD)
60,1/30/69,Jerry West,pulled hamstring (DTD)
61,4/1/69,Phil Jackson,surgery on back (spinal fusion) (out for season) (date approximate)
62,5/1/69,Jerry West,pulled hamstring (DTD)
63,10/24/69,Rick Barry,surgery on left knee to remove torn lateral cartilage (out indefinitely)
64,11/1/69,Jerry West,pulled groin (DTD) (date approximate)
65,11/26/69,Jerry West,sprained ankle (DTD)
66,11/27/69,Arvesta Kelly,pulled hamstring (out indefinitely)
67,11/27/69,Charlie Williams,torn ligament in right knee (out indefinitely)
68,12/1/69,Jimmy Jones / Jimmie Jones,knee injury (out)
69,12/9/69,Jerry West,pulled groin (DTD)
70,12/19/69,Jerry Sloan,groin injury (DTD)
71,1/4/70,Chet Walker,pulled groin (DTD)
72,1/16/70,Nate Thurmond,right knee injury (out for season)
73,2/1/70,Jerry West,pulled groin (DTD) (date approximate)
74,2/4/70,Charlie Williams,surgery on right knee to remove torn cartilage (out for season)
75,8/19/70,Earnie Killum,dislocated left foot (out indefinitely)
76,10/1/70,Elgin Baylor,torn Achilles tendon (out for season) (date approximate)
77,11/18/70,Willis Reed,sore left knee (DTD)
78,1/6/71,Jerry West,fractured nose (DTD)
79,1/18/71,John Havlicek,charley horse (DTD)
80,2/21/71,Terry Dischinger,left knee injury (out indefinitely)
81,2/23/71,Terry Dischinger,surgery on left knee (out indefinitely)
82,3/2/71,Jerry West,torn MCL in knee (out indefinitely)
83,9/14/71,Mike Barrett,agreed to surgery on injured wrist (out for season)
84,9/15/71,Darrall Imhoff,knee injury (out indefinitely)
85,10/4/71,Howard Porter,right eye infection (DTD)
86,10/8/71,Austin Carr,fractured foot (out indefinitely) (date approximate)
87,10/20/71,Jerry West,sprained ankle (DTD)
88,10/21/71,Mike Riordan,fractured wrist (out indefinitely)
89,10/23/71,Ken Durrett,torn medial cartilage in right knee (out indefinitely)
90,10/27/71,Ken Durrett,surgery on right knee to repair torn medial cartilage (out indefinitely) (date approximate)
91,11/13/71,Willis Reed,left knee tendinitis (out indefinitely)
92,11/29/71,Austin Carr,sprained ankle (out indefinitely) (date approximate)
93,12/26/71,John Brisker,Achilles tendon injury
94,1/1/72,Larry Jones,fractured wrist (out indefinitely) (date approximate)
95,1/24/72,Gilbert McGregor / Gil McGregor,broken foot (out indefinitely)
96,3/14/72,George Lehmann,torn muscle (out for season) (date approximate)
97,9/24/72,Kevin Loughery,knee injury (DTD)
98,11/3/72,Rick Roberson,pulled hamstring (out indefinitely)
99,1/6/73,Harley Swift / Skeeter Swift,surgery on knee (out indefinitely)
100,2/9/73,Jerry West,pulled hamstring (DTD)
101,2/21/73,Brian Taylor,dislocated fingers on right hand (out indefinitely)
102,3/18/73,Clifford Ray,sprained LCL in left knee (DTD)
103,5/6/73,Jerry West,pulled hamstring (DTD)
104,8/21/73,Doug Collins,fractured left foot (out indefinitely)
105,11/1/73,Jerry West,pulled groin (date approximate)
106,11/6/73,Elmore Smith,fractured cheekbone (out indefinitely)
107,1/9/74,Jerry West,pulled groin (DTD)
108,1/20/74,John Johnson (a),fractured elbow (out indefinitely)
109,1/23/74,Billy Paultz,sprained ankle (DTD)
110,2/5/74,Jerry West,pulled groin (DTD)
111,3/9/74,Nate Thurmond,sprained arch in foot (out indefinitely)
112,3/15/74,Lucius Allen,torn cartilage in knee (out for season)
113,3/16/74,Lucius Allen,surgery on knee to repair torn cartliage (out for season)
114,10/5/74,Kareem Abdul-Jabbar / Lew Alcindor,fractured right hand (out indefinitely)
115,10/7/74,Herm Gilliam,surgery on knee to repair torn cartilage (out indefinitely)
116,10/30/74,Bernie Fryer,torn thigh muscle (out indefinitely)
117,11/1/74,Lou Hudson,elbow injury (date approximate)
118,11/21/74,Billy Cunningham,sore left knee (DTD)
119,12/5/74,Austin Carr,knee injury (surgery) (out indefinitely)
120,1/27/75,John Block,hospitalized withi back and lung ailments
121,11/1/75,Mack Calvin,partially torn tendon in knee (out at least 1 month) (date approximate)
122,11/1/75,Mike Green,cartilage problem in knee (out at least 1 month) (date approximate)
123,12/5/75,Billy Cunningham,partially torn ligament (ACL?) in left knee (out for season)
124,1/15/76,Billy Knight,hand injury (DTD) (date approximate)
125,5/1/76,James Silas,broken ankle (date approximate)
126,5/2/76,James Silas,surgery to repair broken ankle (date approximate)
127,8/20/76,Dave Meyers,fractured left knee (out indefinitely)
128,8/24/76,Jim Chones,fractured right little toe (DTD)
129,8/27/76,Dave Meyers,surgery on left knee to repair fracture
130,10/15/76,James Silas,injured right knee (date approximate)
131,11/15/76,James Silas,surgery on right knee to remove torn cartilage
132,12/21/76,Jim Ard,elbow infection (DTD)
133,2/1/77,Harvey Catchings,fractured and dislocated right elbow (out for season)
134,12/9/77,Rudy Tomjanovich,fractured facial bones (out indefinitely)
135,1/31/78,Pete Maravich,sprained ligament in right knee (out indefinitely)
136,5/5/78,Dennis Johnson,dislocated middle finger on right hand (DTD)
137,10/1/78,Dave Meyers,back injury (out for season) (date approximate)
138,2/20/79,Pete Maravich,rehab of right knee injury (out for season)
139,5/16/79,John Lambert,sprained left ankle (DTD)
140,9/11/79,Matt Teahan,fractured bone in left foot (out indefinitely)
141,11/24/79,John Lambert,sprained right ankle (DTD)
142,12/26/79,Bob Lanier,fractured left hand (out indefinitely)
143,1/1/80,Michael Russell / Campy Russell,knee injury (date approximate)
144,3/10/80,Bob Dandridge,bruised calf muscle (DTD) (date approximate)
145,3/12/80,Doug Collins,torn ACL and cartilage in left knee (out for season)
146,3/17/80,Doug Collins,surgery to repair torn ACL in left knee (out for season)
147,8/5/80,Tom Burleson,fractured wrist (out indefinitely)
148,9/23/80,Toby Knight,torn ACL in left knee (out indefinitely)
149,11/17/80,Rick Mahorn,sprained ankle (DTD)
150,11/18/80,Lonnie Shelton,surgery on left wrist to repair fractured bone (out indefinitely) (date approximate)
151,11/21/80,Bob Dandridge,unknown (date approximate)
152,12/16/80,Larry Kenon,back injury (DTD)
153,2/22/81,Austin Carr,sprained back (DTD)
154,4/24/81,David Greenwood,surgery on right knee to remove torn cartilage (out indefinitely)
155,9/14/81,Doug Collins,torn ACL in right knee (out indefinitely)
156,9/21/81,Doug Collins,surgery to remove torn cartilage in right knee (out indefinitely)
157,10/7/81,Eddie Johnson (Lee),admitted to psychiatric unit of hospital for treatment of depression
158,10/7/81,John Lambert,groin injury (DTD)
159,10/8/81,Bill Cartwright,sprained MCL (out 4-6 weeks)
160,11/15/81,Junior Bridgeman,strained knee (DTD) (date approximate)
161,12/9/81,Mark Aguirre,stress fracture in foot (out indefinitely)
162,12/18/81,Brad Holland,flu (DTD)
163,12/19/81,Mitch Kupchak,torn ACL in knee (out indefinitely)
164,1/2/82,Swen Nater,knee injury (out for season)
165,1/15/82,Ricky Sobers,sprained right ankle (DNP)
166,1/15/82,Ronnie Lester,sore left toe (DNP)
167,1/17/82,Darryl Dawkins,fractured right shin bone (out indefinitely)
168,2/3/82,Ray Williams,sprained right ankle (DTD)
169,8/13/82,Michael Russell / Campy Russell,torn ACL in right knee (out indefinitely)
170,9/14/82,Kenny Dennard,surgery to remove malignant tumor from stomach (date approximate)
171,10/16/82,Kurt Rambis,sprained right arch (out indefinitely)
172,11/2/82,Corny Thompson,surgery on right elbow to remove bone chips
173,11/30/82,David Thompson (O'Neil),fluid on knee (out ~1 week)
174,12/5/82,Steve Mix,sprained right ankle (DTD)
175,12/7/82,Darrell Griffith,sprained ankle (DTD)
176,12/9/82,Quintin Dailey,team granted player's request for temporary leave of absence to seek psychiatric help
177,12/15/82,Bob Lanier,arthroscopic surgery on right knee to remove fragments (out 4-5 weeks)
178,12/15/82,Robert Parish,sore left ankle (DTD)
179,12/17/82,Adrian Dantley,torn ligaments in right wrist (out for season)
180,12/20/82,Andrew Toney,shoulder inury (DTD)
181,12/27/82,Harvey Catchings,sprained left wrist (DTD)
182,12/29/82,Cliff Levingston,broken left hand (out indefinitely)
183,1/1/83,Sylvester Williams / Sly Williams,arthroscopic surgery on left knee to evaluate bruised cartilage
184,1/3/83,Albert King,sprained right knee (DTD)
185,1/6/83,Adrian Dantley,surgery on right wrist to repair torn ligaments (out for season) (date approximate)
186,1/10/83,Julius Erving,bruised right hand- knee injury- sore back (DTD)
187,1/10/83,Micheal Ray Richardson,sprained ankle (DTD)
188,1/10/83,Sam Williams,sprained ankle (DTD)
189,1/15/83,George Johnson (Thomas),surgery on knee (out 6-8 weeks)
190,2/7/83,Kent Benson,sprained left ankle (DTD)
191,2/14/83,Jerome Whitehead,arthroscopic surgery on right knee (out for season)
192,2/19/83,Bob McAdoo,sprained right foot (DTD)
193,2/23/83,Otis Birdsong,stress fracture in pelvis (out indefinitely)
194,2/26/83,Julius Erving,scratched cornea in right eye (left game)
195,3/1/83,Orlando Woolridge,torn ligament in right knee (out for season)
196,3/1/83,Ronnie Lester,fractured right kneecap (out for season)
197,3/1/83,Bill Walton,lack of fluid in right ankle (DNP)
198,3/1/83,Larry Smith,nerve inflammation in right forearm (out for season)
199,3/8/83,Bob McAdoo,surgery on right toe (out 2-3 weeks) (date approximate)
200,3/14/83,Julius Erving,sprained wrist (DTD)
201,3/14/83,Kent Benson,arthroscopic surgery on left ankle (out for season)
202,4/1/83,Ben Poquette,fractured finger on left hand (out for season)
203,4/4/83,Dennis Johnson,sprained ankle (out 1-2 games)
204,4/5/83,Terry Cummings,heart condition (out indefinitely)
205,4/10/83,Moses Malone,right knee inflammation (DTD) (date approximate)
206,4/21/83,Moses Malone,left knee inflammation (DTD)
207,5/13/83,Ed Sherod,surgery on right knee to remove cartilage
208,6/2/83,Dave Cowens,surgery on right knee to repair torn tendon
209,7/6/83,Bob Lanier,arthroscopic surgery on left knee to remove fragments (date 07-21 per some sources)
210,8/11/83,John Bagley,surgery on knee to remove torn cartilage (out 3-4 weeks)
211,8/31/83,Ralph Sampson,swollen/strained left foot (DTD)
212,10/3/83,Kareem Abdul-Jabbar / Lew Alcindor,viral hepatisis (DTD)
213,10/12/83,Tom Chambers,broken right hand (DTD)
214,10/19/83,Hubie Brown,head coach hospitalized with chest pains
215,10/30/83,Clarence Walker / Foots Walker,foot injury (DNP)
216,11/15/83,James Edwards,right hand injury (out indefinitely) (date approximate)
217,11/18/83,Bobby Jones (C.),pinched nerve in left leg (DTD)
218,11/24/83,Rick Robey,right knee inflammation (DTD)
219,12/2/83,Jim Spanarkel,fractured wrist (out indefinitely)
220,12/24/83,Moses Malone,right ankle injury (DTD) (date approximate)
221,1/5/84,Nate Archibald,placed on IL with pulled right hamstring
222,1/6/84,Julius Erving,bruised forearm (DTD)
223,1/6/84,Maurice Lucas,strained left knee (DTD)
224,1/20/84,Rod Higgins,head injury (left game)
225,1/21/84,Rod Higgins,consussion (DTD)
226,1/23/84,Leo Rautins,stress fracture in left foot (out 4-6 weeks)
227,2/1/84,Maurice Lucas,strained calf (DTD)
228,2/2/84,Clemon Johnson,sprained ankle (DTD)
229,2/4/84,Michael Brooks,torn ACL in right knee (out for season)
230,2/6/84,Michael Brooks,surgery on right knee to repair torn ACL (out for season)
231,2/11/84,Bill Walton,sprained knee / flu (DTD) (date approximate)
232,2/13/84,David Thompson (O'Neil),pulled groin (DTD) (date approximate)
233,2/17/84,Robert Reid,arthroscopic surgery on left knee to repair ligament damage (out indefinitely)
234,2/23/84,Ben Poquette,broken wrist (out for season)
235,2/23/84,Bob McAdoo,hospitalized with upper respiratory infection (DTD)
236,2/24/84,Ed Jordan / Eddie Jordan,sprained ankle (DTD)
237,3/9/84,Nate Archibald,pulled right hamstring (out 3-4 weeks)
238,3/10/84,David Thompson (O'Neil),torn ligaments in left knee (suffered in disco scuffle)
239,3/18/84,Clint Richardson,bruised kidney (DTD)
240,3/18/84,Franklin Edwards,broken left arm (out for season)
241,3/22/84,Clint Richardson,bruised kidney (DNP)
242,3/22/84,Adrian Dantley,respiratory illness (DNP)
243,3/26/84,David Thompson (O'Neil),surgery on left knee to repair torn ligaments (date approximate)
244,3/27/84,Larry Drew I,strained ligaments in left foot (DTD)
245,4/2/84,Bobby Jones (C.),right knee injury (DTD)
246,4/2/84,Clint Richardson,bruised kidney (DTD)
247,4/2/84,Maurice Cheeks,right knee injury (DTD)
248,4/9/84,Byron Scott,sprained knee (DTD)
249,4/11/84,Bobby Jones (C.),spained left foot (out for rest of regular season)
250,4/13/84,Nate Archibald,tear in right hamstring (out for season)
251,5/29/84,Rick Robey,surgery on left heel to remove bone spur
252,5/30/84,Lorenzo Romar,surgery on right knee to remove bone chips
253,9/13/84,Randy Wittman,arthroscopic surgery on left knee to repair damaged cartilage and ligaments
254,10/1/84,Clark Kellogg,arthroscopic surgery on left knee (out 10+ days)
255,10/5/84,Marvin Webster,anemia and hepatitis (hospitalized)
256,10/5/84,Kiki Vandeweghe,back injury (DTD)
257,10/7/84,Tom Sewell,pulled hamstring (DTD)
258,10/9/84,Walter Davis (P.),three torn/sprained ligaments in left knee (out 3-4 weeks)
259,10/10/84,Lonnie Shelton,arthroscopic surgery on knee (date approximate)
260,10/10/84,Paul Thompson,broken rib (out 1-3 weeks)
261,10/29/84,James Bailey,passed out during practice and hospitalized (DTD)
262,11/5/84,Dan Roundfield,strained left calf muscle (out 4 games)
263,11/9/84,Bill Cartwright,fractured metatarsal bone in left foot (out indefinitely)
264,11/14/84,Rick Robey,surgery to remove bone growth in right heel (out for season)
265,11/23/84,Mike Sanders,cartilage damage in left knee (out 2 months)
266,11/26/84,Kyle Macy,strained hip (out 1 week)
267,11/27/84,Antoine Carr,broken left thumb (out 6+ weeks)
268,12/5/84,Earl Jones,broken bone in right ankle (out indefinitely)
269,12/5/84,Albert King,DNP
270,12/5/84,Mike O'Koren,DNP
271,12/7/84,Frank Johnson,fractured fourth metatarsal bone in left foot (out indefinitely)
272,12/13/84,Darryl Dawkins,released from hospital
273,12/14/84,Darwin Cook,stress fracture in ankle (out 2-3 weeks)
274,12/22/84,Allen Leavell,right ankle inflammation (out 7-10 days)
275,1/2/85,Caldwell Jones,broken right middle finger (out 4-6 weeks)
276,1/3/85,Kyle Macy,right foot injury (out 5+ games)
277,1/4/85,Earvin Johnson / Magic Johnson,sprained index finger (DTD)
278,1/5/85,Kenny Carr,arthroscopic surgery on left knee (out 3-6 weeks)
279,1/7/85,Jay Vincent,pulled hamstring (out 2+ games)
280,1/8/85,Earvin Johnson / Magic Johnson,sprained index finger (DNP)
281,1/11/85,Bernard King,sprained right ankle (DTD)
282,1/16/85,Mitchell Anderson / J.J. Anderson,bruised right cheekbone (DTD)
283,1/17/85,Adrian Dantley,bruised thigh & swollen knee (DTD)
284,1/18/85,Jack Sikma,tendon and ligament damage in left ring finger
285,1/23/85,Paul Thompson,stress fracture in shin bone (out 4-6 weeks)
286,1/23/85,Dan Roundfield,arthroscopic surgery on left knee (out 3-4 weeks)
287,1/28/85,Mitch Kupchak,40-stitch cut over right eye (DTD)
288,2/11/85,Kelly Tripucka,sprained ankle (DTD) (date approximate)
289,2/15/85,Clemon Johnson,leg injury (out 2+ games)
290,2/19/85,Clemon Johnson,placed in traction to treat sciatic nerve pain (out 2-3 weeks)
291,2/22/85,Cedric Maxwell,arthroscopic surgery on knee (out 3-4 weeks)
292,2/25/85,Darren Daye,flu (DTD)
293,3/6/85,Edgar Jones,knee injury (DTD)
294,3/12/85,Jim Paxson Jr.,surgery on dislocated finger (DTD)
295,3/12/85,Kent Benson,strained ligaments in knee (out ~2 weeks)
296,3/18/85,Clint Richardson,sprained left ankle (DTD)
297,3/18/85,Moses Malone,sprained right ankle (DTD)
298,3/21/85,Otis Birdsong,fractured right hand (out for season)
299,3/22/85,Walter Davis (P.),sprained right ankle (DTD)
300,3/23/85,Bernard King,torn ACL in right knee (out indefinitely)
301,3/25/85,Bernard King,arthroscopic surgery on right knee to determine extent of injury (out indefinitely)
302,4/1/85,Jerry Sichting,stress fracture in right foot (out for season)
303,4/1/85,Rick Robey,arthroscopic surgery on left knee (out for season)
304,4/2/85,Jack Sikma,surgery on left ring finger to repair torn ligament (out indefinitely)
305,4/3/85,George Gervin,sprained ankle (DTD)
306,4/9/85,Alvin Robertson,broken foot (out for season)
307,4/9/85,Walter Davis (P.),surgery on right ankle to remove bone spurs and on left hand to remove cyst
308,4/28/85,Mark Eaton,torn MCL in right knee (out for season)
309,4/30/85,Mark Eaton,surgery on right knee to repaor torn MCL (out for season)
310,5/13/85,Lafayette Lever / Fat Lever,arthroscopic surgery on right knee
311,6/7/85,Phil Hubbard,sore left knee (DTD)
312,6/10/85,Phil Hubbard,arthroscopic surgery on left knee to remove loose cartilage
313,8/4/85,Eddie Lee Wilkins,torn ACL in left knee (out indefinitely)
314,8/6/85,Eddie Lee Wilkins,arthroscopic surgery on left knee to repair torn ACL and cartilage damage (out for season)
315,8/16/85,Larry Bird,sore right elbow (DTD)
316,9/18/85,Bobby Jones (C.),surgery on left ankle to remove bone spurs (out indefinitely)
317,9/28/85,Lonnie Shelton,left knee injury (out indefinitely)
318,10/1/85,Lonnie Shelton,arthroscopic surgery on left knee
319,10/3/85,Darrell Griffith,fractured bone in left foot (out for season)
320,10/5/85,Bill Cartwright,bruised left foot (out ~2 weeks)
321,10/12/85,Larry Bird,sore lower back (DTD)
322,10/19/85,Greg Ballard,arthroscopic surgery on right knee to repair torn cartilage (out indefinitely)
323,10/25/85,Earvin Johnson / Magic Johnson,shingles (DTD)
324,10/28/85,Bernard Thompson,stress fracture in left ankle (out 3-4 weeks)
325,10/29/85,Michael Jordan (J.),broken navicular tarsal bone in left foot
326,10/29/85,Bill Cartwright,broken metatarsal bone in his left foot (out 4+ weeks)
327,11/4/85,Andrew Toney,stress fracture in right foot (out ~3 weeks)
328,11/5/85,Derek Smith,torn cartilage in left knee (date approximate)
329,11/6/85,James Bailey,partial tear in left knee (out 1-3 weeks)
330,11/10/85,Derek Smith,arthroscopic surgery on left knee to repair torn cartilage (date approximate)
331,11/18/85,Clyde Drexler,stress fracture in left leg
332,11/21/85,World B. Free / Lloyd Free,pulled right hamstring (out 1+ weeks)
333,12/3/85,Sedale Threatt,pulled abdominal muscle (out indefinitely)
334,12/4/85,Kiki Vandeweghe,bruised bone in lower right leg (DTD)
335,12/11/85,Jeff Ruland,sprained right ankle (DTD)
336,12/12/85,Dennis Johnson,hyperextended left thumb (DTD)
337,12/25/85,Patrick Ewing Sr.,sprained right knee
338,12/27/85,Patrick Ewing Sr.,sprained right knee (DNP)
339,12/29/85,Frank Johnson,fractured fourth metatarsal bone in left foot (DTD)
340,1/15/86,Charles Barkley,lower back injury (DNP)
341,1/15/86,Johnny Moore,diagnosed with desert fever (out for season)
342,3/1/86,Mitch Kupchak,knee injury (date approximate)
343,3/26/86,Hubie Brown,flu (missed game)
344,4/9/86,Derrick Rowland,arthroscopic surgery on knee
345,9/29/86,Charles Jones (A.),stress fracture in shin (out 2+ months)
346,10/2/86,Bill Walton,fractured left pinky finger (DTD)
347,10/7/86,Cliff Robinson,minor separation of right shoulder (out ~1 week)
348,10/7/86,Roy Hinson,sore right knee (DTD)
349,10/12/86,William Bedford,surgery on right knee to remove bone chips
350,10/13/86,Bill Cartwright,left hand injury (out ~3 weeks)
351,10/16/86,Antoine Carr,burns on right foot and lower right leg (DTD)
352,10/21/86,Gene Banks,broken right foot (out 6-7 weeks)
353,10/23/86,Scott Skiles,bulging disc in back (out 3-5 weeks)
354,10/23/86,Danny Ainge,injured vertebrae (missed entire pre-season)
355,10/25/86,A.C. Green,torn ligament in left thumb (out 2-3 weeks)
356,11/1/86,Calvin Natt,Achilles tendon injury (out for season) (date approximate)
357,11/8/86,Sam Bowie,broken right leg (date approximate)
358,11/11/86,Jeff Ruland,swollen left knee (DTD)
359,11/12/86,Jeff Ruland,arthroscopic surgery on left knee (date approximate)
360,11/19/86,Danny Vranes,broken nose (DTD)
361,11/20/86,Frank Johnson,fractured fourth metatarsal bone in left foot (out indefinitely)
362,11/20/86,Marques Johnson,bruised spinal cord in neck (out 2-3 weeks)
363,11/20/86,Bernard Thompson,surgery on left shin to repair stress fracture
364,11/24/86,Kurt Rambis,dislocated right index finger (DTD)
365,12/8/86,Robert Reid,arthroscopic surgery on right knee (date approximate)
366,12/24/86,Anthony Webb / Spud Webb,right knee injury (out indefinitely)
367,12/25/86,Anthony Webb / Spud Webb,arthroscopic surgery on left knee (out indefinitely)
368,12/27/86,Darrell Griffith,shoulder injury (out 10-15 days) (date approximate)
369,1/7/87,Larry Bird,strained lower back (DNP)
370,1/8/87,Paul Pressey,surgery on right ring finger to repair partially divided tendon (out 4-5 weeks)
371,1/14/87,Larry Nance Sr.,sprained right ankle (DTD)
372,1/20/87,Chris Washburn,kidney ailment (out 3 games)
373,2/18/87,Julius Erving,fractured middle finger on right hand (out ~6 games)
374,2/20/87,Pat Cummings,right ring finger injury (out 2+ games)
375,2/28/87,Dennis Johnson,foot injury (DTD)
376,3/6/87,Sam Bowie,bone graft surgery on right leg
377,3/14/87,Jawann Oldham,injured MCL in left knee (out indefinitely)
378,4/2/87,Alton Lister,broken bone in foot (out indefinitely)
379,4/30/87,Rickey Green,hamstring injury (DTD)
380,5/10/87,Kevin McHale,sprained right ankle (DTD)
381,6/1/87,Gene Banks,torn Achilles tendon (date approximate)
382,6/1/87,Kevin McHale,surgery on foot (date approximate)
383,7/1/87,Robert Reid,surgery on knee (date approximate)
384,7/7/87,Andrew Toney,surgery on right ankle to clean out loose debris
385,7/20/87,Bill Hanzlik,appendectomy (out indefinitely)
386,7/20/87,Sidney Green,minor injuries suffered in car accident
387,8/17/87,Lancaster Gordon,arthroscopic surgery on right knee (out indefinitely)
388,8/18/87,Bill Hanzlik,surgery on back to repair herniated disc (date approximate)
389,9/28/87,Ronnie Murphy,toe injury (out indefinitely)
390,10/1/87,Mike Mitchell,arthroscopic surgery on knee (date approximate)
391,10/2/87,Jim Paxson Jr.,surgery on toe (out indefinitely)
392,10/13/87,Michael Cooper,throat ailment (DTD)
393,10/13/87,Kenny Gattison,ligament damage and torn cartilage in left knee (out for season)
394,10/20/87,Keith Lee,bone bruise in left leg (out 4-6 weeks)
395,10/21/87,Sam Bowie,broken bone in right leg (out indefinitely)
396,10/21/87,Larry Smith,pulled thigh muscle (out 2+ weeks)
397,10/26/87,Kent Benson,hyperextended elbow (out 3-5 weeks)
398,10/26/87,Larry Nance Sr.,fractured ring finger on right hand (out ~4 weeks)
399,11/4/87,Manute Bol,strained & bruised left knee (DTD)
400,11/4/87,Tony Brown (William),surgery on right foot (out for season)
401,11/8/87,Ron Harper,broken foot (out 3-4 weeks)
402,11/12/87,Jeff Lamp,shoulder injury (out indefinitely)
403,11/24/87,Jeff Lamp,surgery on shoulder (out for season)
404,11/29/87,Roy Hinson,broken finger (out 2+ weeks)
405,11/29/87,Tim McCormick,shoulder injury (out 2+ weeks)
406,11/30/87,Orlando Woolridge,stress fracture in foot (out indefinitely)
407,12/2/87,Larry Krystkowiak,sprained left ankle (DTD)
408,12/10/87,Christian Welp,atrthroscopic surgery on left knee
409,12/13/87,Buck Williams,sprained right ankle (out 2-4 weeks)
410,1/5/88,Rolando Blackman,sprained knee (out ~5 games)
411,1/6/88,Calvin Natt,hospitalized for phlebitis in left calf
412,1/22/88,Cliff Robinson,strained lower back & muscle spasms (DTD)
413,3/2/88,Calvin Natt,surgery on knee (date approximate)
414,3/21/88,Reggie Theus,torn calf muscle (out 10+ days)
415,3/22/88,Ronnie Murphy,stress fracture in right foot (out for season)
416,3/24/88,Derek Smith,fractured left eye rim (ouf for season)
417,3/26/88,Earvin Johnson / Magic Johnson,strained right groin muscle (DTD)
418,3/26/88,Michael Cooper,sprained left ankle (DTD)
419,3/29/88,Sam Bowie,surgery on broken right tibia
420,3/29/88,LaSalle Thompson,right knee injury (out for season)
421,3/30/88,Derek Smith,surgery to repair fractured left eye rim (out for season)
422,4/24/88,Kevin Henderson,admitted to clinic for emotional problems
423,5/13/88,Xavier McDaniel,arthroscopic surgery on right knee to repair small tear
424,5/27/88,Lafayette Lever / Fat Lever,arthroscopic surgery on right knee
425,7/7/88,Detlef Schrempf,surgery on left ankle to repair stress fracture
